"Duration,Pulse,Maxpulse,Calories"
"60,110,130,409.10"
"60,117,145,479.00"
"60,103,135,340.00"
"45,109,175,282.40"
"45,117,148,406.00"
"60,102,127,300.50"
"60,110,136,374.00"
"45,104,134,253.30"
"30,109,133,195.10"
"60,98,124,269.0"
"60,103,147,329.30"
"60,100,120,250.70"
"60,106,128,345.30"
"60,104,132,379.30"
"60,98,123,275.0"
"60,98,120,215.2"
"60,100,120,300.00"
"45,90,112,"
"60,103,123,323.00"
"45,97,125,243.0"
"60,108,131,364.20"
"45,100,119,282.00"
"60,130,101,300.00"
"45,105,132,246.00"
"60,102,126,334.50"
"60,100,120,250.00"
"60,92,118,241.0"
"60,103,132"
"60,100,132,280.00"
"60,102,129,380.30"
"60,92,115,243.0"
"45,90,112,180.1"
"60,101,124,299.00"
"60,93,113,223.0"
"60,107,136,361.00"
"60,114,140,415.00"
"60,102,127,300.50"
"60,100,120,300.10"
"60,100,120,300.00"
"45,104,129,266.00"
"45,90,112,180.1"
"60,98,126,286.0"
"60,100,122,329.40"
"60,111,138,400.00"
"60,111,131,397.00"
"60,99,119,273.0"
"60,109,153,387.60"
"45,111,136,300.00"
"45,108,129,298.00"
"60,111,139,397.60"
"60,107,136,380.20"
"80,123,146,643.10"
"60,106,130,263.00"
"60,118,151,486.00"
"30,136,175,238.00"
"60,121,146,450.70"
"60,118,121,413.00"
"45,115,144,305.00"
"20,153,172,226.40"
"45,123,152,321.00"
"2,101,081,601,376.00"
"1,601,101,371,034.40"
"160,109,135,853.00"
"45,118,141,341.00"
"20,110,130,131.40"
"180,90,130,800.4"
"150,105,135,873.40"
"150,107,130,816.00"
"20,106,136,110.40"
"3,001,081,431,500.20"
"150,97,129,1115.0"
"60,109,153,387.60"
"90,100,127,700.00"
"150,97,127,953.2"
"45,114,146,304.00"
"90,98,125,563.2"
"45,105,134,251.00"
"45,110,141,300.00"
"120,100,130,500.40"
"2,701,001,311,729.00"
"30,159,182,319.20"
"45,149,169,344.00"
"30,103,139,151.10"
"120,100,130,500.00"
"45,100,120,225.30"
"30,151,170,300.10"
"45,102,136,234.00"
"1,201,001,571,000.10"
"45,129,103,242.00"
"20,83,107,50.3"
"180,101,127,600.10"
"45,107,137,"
"30,90,107,105.3"
"15,80,100,50.5"
"20,150,171,127.40"
"20,151,168,229.40"
"30,95,128,128.2"
"25,152,168,244.20"
"30,109,131,188.20"
"90,93,124,604.1"
"20,95,112,77.7"
"90,90,110,500.0"
"90,90,100,500.0"
"90,90,100,500.4"
"30,92,108,92.7"
"30,93,128,124.0"
"180,90,120,800.3"
"30,90,120,86.2"
"90,90,120,500.3"
"2,101,371,841,860.40"
"60,102,124,325.20"
"45,107,124,275.00"
"15,124,139,124.20"
"45,100,120,225.30"
"60,108,131,367.60"
"60,108,151,351.70"
"60,116,141,443.00"
"60,97,122,277.4"
"60,105,125,"
"60,103,124,332.70"
"30,112,137,193.90"
"45,100,120,100.70"
"60,119,169,336.70"
"60,107,127,344.90"
"60,111,151,368.50"
"60,98,122,271.0"
"60,97,124,275.3"
"60,109,127,382.00"
"90,99,125,466.4"
"60,114,151,384.00"
"60,104,134,342.50"
"60,107,138,357.50"
"60,103,133,335.00"
"60,106,132,327.50"
"60,103,136,339.00"
"20,136,156,189.00"
"45,117,143,317.70"
"45,115,137,318.00"
"45,113,138,308.00"
"20,141,162,222.40"
"60,108,135,390.00"
"60,97,127,"
"45,100,120,250.40"
"45,122,149,335.40"
"60,136,170,470.20"
"45,106,126,270.80"
"60,107,136,400.00"
"60,112,146,361.90"
"30,103,127,185.00"
"60,110,150,409.40"
"60,106,134,343.00"
"60,109,129,353.20"
"60,109,138,374.00"
"30,150,167,275.80"
"60,105,128,328.00"
"60,111,151,368.50"
"60,97,131,270.4"
"60,100,120,270.40"
"60,114,150,382.80"
"30,80,120,240.9"
"30,85,120,250.4"
"45,90,130,260.4"
"45,95,130,270.0"
"45,100,140,280.90"
"60,105,140,290.80"
"60,110,145,300.40"
"60,115,145,310.20"
"75,120,150,320.40"
"75,125,150,330.40"
